2010/10/21,53,667,0,19462,6476835,0.00%,90,9,44,2017,10.36%,95
2010/10/22,91,1366,1,18186,6476835,0.00%,283,10,0,2290,12.59%,120
2010/10/25,964,861,5,18284,6476835,0.00%,390,78,0,2602,14.23%,181
2010/10/26,555,648,0,18191,6476835,0.00%,216,26,0,2792,15.35%,114
2010/10/27,326,715,8,17794,6476835,0.00%,240,37,0,2995,16.83%,46
