1,2609,17457,26109,8652
2,9116,2359,8394,6035
3,2311,5473,10250,4777
4,1440,8276,13006,4730
5,1905,11009,15602,4593
6,5346,12543,16687,4144
7,2888,6000,10011,4011
8,1313,8797,12702,3905
9,5854,4382,7973,3591
10,1301,5279,8763,3484
11,2883,6223,9680,3457
12,6116,4242,7636,3394
13,2412,6667,9688,3021
14,2014,2290,5239,2949
15,6008,2887,5571,2684
16,3452,1832,4400,2568
17,9907,1190,3684,2494
18,1201,1767,4246,2479
19,2374,1300,3776,2476
20,1902,5581,8012,2431
21,2382,1573,3975,2402
22,2892,4442,6570,2128
23,2105,2999,5079,2080
24,2347,689,2738,2049
25,2324,3788,5776,1988
26,2891,9004,10968,1964
27,6153,1645,3523,1878
28,2890,1945,3709,1764
29,3045,1363,3090,1727
30,2330,3111,4766,1655
