1,1301,10720,76,10644
2,1326,9109,45,9064
3,2325,9912,2147,7765
4,2317,5973,707,5266
5,1402,5528,274,5254
6,2892,5641,494,5147
7,1802,2766,14,2752
8,2382,2364,39,2325
9,1909,1800,2,1798
10,6008,3953,2592,1361
11,2882,2219,1018,1201
12,2854,1250,84,1166
13,1303,1220,98,1122
14,4938,1064,24,1040
15,1905,1000,1,999
16,1809,975,0,975
17,2883,895,147,748
18,1710,773,100,673
19,2385,590,7,583
20,2498,645,198,447
21,2392,450,6,444
22,4904,475,31,444
23,9103,400,0,400
24,3037,401,56,345
25,2357,351,16,335
26,3481,400,78,322
27,3045,536,230,306
28,2103,298,6,292
29,2889,277,0,277
30,2002,547,315,232
