1,2610,4747,2874,1873
2,2609,6799,5370,1429
3,1409,5828,4541,1287
4,2325,1584,324,1260
5,2022,1667,532,1135
6,8069,1034,168,866
7,2891,2367,1514,853
8,2330,1249,437,812
9,1301,1724,913,811
10,2618,3158,2352,806
11,9116,992,299,693
12,2002,748,97,651
13,1440,1069,494,575
14,9116,662,104,558
15,2892,649,120,529
16,1605,731,221,510
17,2888,869,389,480
18,6116,681,242,439
19,4711,402,9,393
20,2402,901,526,375
21,2014,909,544,365
22,2352,678,316,362
23,2303,564,258,306
24,2448,566,282,284
25,1712,387,113,274
26,9925,276,6,270
27,1216,892,624,268
28,1201,371,113,258
29,6153,342,85,257
30,1460,297,43,254
