1,2886,4153,400,3753
2,2891,3663,646,3017
3,2313,1153,86,1067
4,1418,709,73,636
5,2371,872,368,504
6,2364,594,109,485
7,2002,602,118,484
8,1904,602,165,437
9,2880,444,32,412
10,1304,553,182,371
11,2409,493,174,319
12,2609,1024,726,298
13,5346,510,281,229
14,2816,230,6,224
15,1715,241,37,204
16,2337,359,166,193
17,1608,314,123,191
18,1455,249,61,188
19,1609,233,82,151
20,1815,180,37,143
21,2316,167,25,142
22,2375,143,8,135
23,1457,281,153,128
24,2801,1406,1282,124
25,2847,276,160,116
26,2352,161,48,113
27,1443,118,7,111
28,2881,255,146,109
29,2201,518,415,103
30,2329,134,31,103
